"Field","Type","Bengali"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly হল সর্বজনীন গৃহস্থালি ব্যবস্থাপনা অ্যাপ যা আপনাকে এবং আপনার পরিবারকে একসাথে সংগঠিত থাকতে সাহায্য করে। আপনি সঙ্গী, রুমমেট বা পরিবারের সাথে থাকুন না কেন, Wohnly সবাইকে একই পাতায় রাখে।

শেয়ার করা কাজের তালিকা, কেনাকাটার তালিকা, গৃহস্থালির কাজ, ব্যয়, খাবার পরিকল্পনা এবং একটি পারিবারিক ক্যালেন্ডার পরিচালনা করুন — সবকিছু এক জায়গায়। আপনার পরিবারের প্রতিটি সদস্য অবদান রাখতে পারেন, কাজ চিহ্নিত করতে পারেন এবং রিয়েল টাইমে আপডেট থাকতে পারেন।

মূল বৈশিষ্ট্যসমূহ:

শেয়ার করা কাজের তালিকা এবং ব্যক্তিগত কাজ
সহযোগিতামূলক কেনাকাটার তালিকা
ন্যায্য ভাগ বিশ্লেষণ সহ গৃহস্থালির কাজ ব্যবস্থাপনা
ব্যয় ট্র্যাকিং এবং বিভাজন
কেনাকাটার তালিকা ইন্টিগ্রেশন সহ খাবার পরিকল্পনা
ইভেন্ট এবং সময়সূচির জন্য পারিবারিক ক্যালেন্ডার
সহজ কোড দিয়ে সদস্য আমন্ত্রণ
গৃহস্থালির ডেটার এন্ড-টু-এন্ড এনক্রিপশন
সুন্দর ডার্ক এবং লাইট থিম
৪২টি ভাষায় উপলব্ধ
Windows, macOS, iOS, Android এবং ওয়েবে কাজ করে
Wohnly বিনামূল্যে ব্যবহার করা যায়। Google বা Apple দিয়ে সাইন ইন করুন, আপনার পরিবার তৈরি করুন এবং শুরু করতে পরিবার বা রুমমেটদের আমন্ত্রণ জানান।"
"WhatsNew","Text","Windows-এর জন্য প্রাথমিক রিলিজ। কাজ, কেনাকাটার তালিকা, গৃহস্থালির কাজ, ব্যয়, খাবার পরিকল্পনা এবং ক্যালেন্ডার সহ সম্পূর্ণ গৃহস্থালি ব্যবস্থাপনা অন্তর্ভুক্ত।"
"ProductFeatures1","Text","শেয়ার করা এবং ব্যক্তিগত কাজের তালিকা"
"ProductFeatures2","Text","সহযোগিতামূলক কেনাকাটার তালিকা"
"ProductFeatures3","Text","বিশ্লেষণ সহ গৃহস্থালির কাজ ট্র্যাকিং"
"ProductFeatures4","Text","ব্যয় ট্র্যাকিং এবং বিল বিভাজন"
"ProductFeatures5","Text","উপাদান সিঙ্কের সাথে খাবার পরিকল্পনা"
"ProductFeatures6","Text","পারিবারিক ক্যালেন্ডার এবং ইভেন্ট"
"ProductFeatures7","Text","এন্ড-টু-এন্ড এনক্রিপ্টেড গৃহস্থালির ডেটা"
"ProductFeatures8","Text","সমস্ত ডিভাইসে রিয়েল-টাইম সিঙ্ক"
"ProductFeatures9","Text","৪২টি ভাষায় উপলব্ধ"
"ProductFeatures10","Text","ডার্ক এবং লাইট থিম"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly হল পরিবার ও রুমমেটদের জন্য গৃহস্থালি ব্যবস্থাপনা অ্যাপ — কাজ, কেনাকাটা, গৃহস্থালির কাজ, ব্যয় ও খাবার পরিকল্পনা এক জায়গায়।"
"SearchTerms1","Text","গৃহস্থালি ব্যবস্থাপনা অ্যাপ"
"SearchTerms2","Text","পারিবারিক অর্গানাইজার"
"SearchTerms3","Text","শেয়ার করা কাজের তালিকা"
"SearchTerms4","Text","সহযোগিতামূলক কেনাকাটার তালিকা"
"SearchTerms5","Text","গৃহস্থালির কাজ ব্যবস্থাপনা"
"SearchTerms6","Text","ব্যয় ট্র্যাকিং অ্যাপ"
"SearchTerms7","Text","ব্যয় বিভাজন অ্যাপ"
"Applicable license terms","Text","Wohnly ব্যবহার করে, আপনি https://wohnly.app/privacy-policy-এ পাওয়া পরিষেবার শর্তাবলী এবং গোপনীয়তা নীতিতে সম্মত হচ্ছেন। Wohnly কোনো ওয়ারেন্টি ছাড়াই ""যেমন আছে"" ভিত্তিতে প্রদান করা হয়। সফটওয়্যারটি বিনামূল্যে ব্যবহারযোগ্য। আপনার গৃহস্থালির ডেটা এন্ড-টু-এন্ড এনক্রিপ্টেড এবং নিরাপদে সংরক্ষিত। অ্যাপের মধ্যে আপনি যে সমস্ত সামগ্রী তৈরি করেন তার মালিকানা আপনার কাছেই থাকে।"
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
