"Field","Type","Icelandic"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly er heildarforrit fyrir heimilisstjórnun sem hjálpar þér og fjölskyldinni þinni að vera skipulögð saman. Hvort sem þú býrð með maka, herbergisfélaga eða fjölskyldu, heldur Wohnly öllum á sama blaði.

Stjórna samnýttum verkefnalistum, innkaupalista, heimilisverkum, útgjöldum, máltíðaráætlunum og heimiliisdagatal — allt á einum stað. Sérhver meðlimur heimilisins getur lagt af mörkum, hakað við verkefni og verið uppfærður í rauntíma.

Helstu eiginleikar:

Samnýttir verkefnalistar og persónuleg verkefni
Samstarfsinnkaupalista
Heimilisverk með sanngjarnar skiptingargreiningar
Útgjaldaeftirlit og skipting
Máltíðaráætlun með samþættingu innkaupalista
Heimiliisdagatal fyrir viðburði og dagskrár
Bjóða meðlimum með einföldum kóða
Enda-í-enda dulkóðun fyrir heimilisgögn
Falleg dökk og ljós þemu
Í boði á 42 tungumálum
Virkar á Windows, macOS, iOS, Android og vefnum
Wohnly er ókeypis. Skráðu þig inn með Google eða Apple, búðu til heimilið þitt og bjóddu fjölskyldu eða herbergisfélögum."
"WhatsNew","Text","Upphafsútgáfa fyrir Windows. Inniheldur fulla heimilisstjórnun með verkefnum, innkaupalista, heimilisverk, útgjöld, máltíðaráætlun og dagatal."
"ProductFeatures1","Text","Samnýttir og persónulegir verkefnalistar"
"ProductFeatures2","Text","Samstarfsinnkaupalista"
"ProductFeatures3","Text","Eftirlit með heimilisverk með greiningu"
"ProductFeatures4","Text","Útgjaldaeftirlit og reikningsskipting"
"ProductFeatures5","Text","Máltíðaráætlun með samstillingu hráefna"
"ProductFeatures6","Text","Heimiliisdagatal og viðburðir"
"ProductFeatures7","Text","Enda-í-enda dulkóðuð heimilisgögn"
"ProductFeatures8","Text","Rauntíma samstilling á öllum tækjum"
"ProductFeatures9","Text","Í boði á 42 tungumálum"
"ProductFeatures10","Text","Dökk og ljós þemu"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly er heimilisstjórnunarforrit fyrir fjölskyldur og herbergisfélaga — verkefni, innkaup, heimilisverk, útgjöld og máltíðaráætlun á einum stað."
"SearchTerms1","Text","heimilisstjórnunarforrit"
"SearchTerms2","Text","fjölskylduorganizer"
"SearchTerms3","Text","samnýttir verkefnalistar"
"SearchTerms4","Text","samstarfsinnkaupalisti"
"SearchTerms5","Text","stjórnun heimilisverk"
"SearchTerms6","Text","útgjaldaeftirlit"
"SearchTerms7","Text","útgjaldaskiptingarforrit"
"Applicable license terms","Text","Með því að nota Wohnly samþykkir þú þjónustuskilmála og persónuverndarstefnu sem er fáanleg á https://wohnly.app/privacy-policy. Wohnly er veitt ""eins og það er"" án nokkurrar ábyrgðar. Hugbúnaðurinn er ókeypis. Heimilisgögn þín eru dulkóðuð frá enda til enda og geymd á öruggan hátt. Þú heldur eignarrétti yfir öllu efni sem þú býrð til í forritinu."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
