"Field","Type","Russian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly — это комплексное приложение для управления домашним хозяйством, которое помогает вам и вашей семье оставаться организованными вместе. Живёте ли вы с партнёром, соседями по комнате или семьёй, Wohnly держит всех в курсе событий.

Управляйте общими списками задач, списками покупок, домашними обязанностями, расходами, планами питания и домашним календарём — всё в одном месте. Каждый член семьи может вносить вклад, отмечать задачи выполненными и быть в курсе событий в режиме реального времени.

Ключевые возможности:

Общие списки задач и личные задачи
Совместные списки покупок
Управление домашними обязанностями с аналитикой справедливого распределения
Отслеживание и разделение расходов
Планирование питания с интеграцией списка покупок
Домашний календарь для событий и расписаний
Приглашение участников с помощью простого кода
Сквозное шифрование данных домашнего хозяйства
Красивые тёмные и светлые темы
Доступно на 42 языках
Работает на Windows, macOS, iOS, Android и в браузере
Wohnly бесплатен. Войдите через Google или Apple, создайте домашнее хозяйство и пригласите семью или соседей, чтобы начать."
"WhatsNew","Text","Первый выпуск для Windows. Включает полное управление домашним хозяйством с задачами, списками покупок, домашними делами, расходами, планированием питания и календарём."
"ProductFeatures1","Text","Общие и личные списки задач"
"ProductFeatures2","Text","Совместные списки покупок"
"ProductFeatures3","Text","Отслеживание домашних обязанностей с аналитикой"
"ProductFeatures4","Text","Учёт расходов и разделение счетов"
"ProductFeatures5","Text","Планирование питания с синхронизацией ингредиентов"
"ProductFeatures6","Text","Домашний календарь и события"
"ProductFeatures7","Text","Данные домашнего хозяйства с полным шифрованием"
"ProductFeatures8","Text","Синхронизация в реальном времени на всех устройствах"
"ProductFeatures9","Text","Доступно на 42 языках"
"ProductFeatures10","Text","Тёмная и светлая темы"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly — приложение для управления домом для семей и соседей — задачи, покупки, домашние дела, расходы и планирование питания в одном месте."
"SearchTerms1","Text","приложение для управления домом"
"SearchTerms2","Text","семейный органайзер"
"SearchTerms3","Text","общие списки задач"
"SearchTerms4","Text","совместный список покупок"
"SearchTerms5","Text","приложение для домашних обязанностей"
"SearchTerms6","Text","учёт расходов"
"SearchTerms7","Text","приложение для разделения расходов"
"Applicable license terms","Text","Используя Wohnly, вы соглашаетесь с Условиями использования и Политикой конфиденциальности, доступными по адресу https://wohnly.app/privacy-policy. Wohnly предоставляется «как есть» без каких-либо гарантий. Программное обеспечение является бесплатным. Данные вашего домашнего хозяйства зашифрованы сквозным шифрованием и надёжно хранятся. Вы сохраняете право собственности на весь контент, созданный в приложении."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
