"Field","Type","Slovenian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly je celovita aplikacija za upravljanje gospodinjstva, ki vam in vaši družini pomaga ostati organizirani skupaj. Ne glede na to, ali živite s partnerjem, sostanovalci ali družino, Wohnly poskrbi, da so vsi na isti strani.

Upravljajte skupne sezname opravil, sezname nakupov, gospodinjska dela, stroške, načrte obrokov in gospodinjski koledar — vse na enem mestu. Vsak član gospodinjstva lahko prispeva, označuje opravila in je v realnem času obveščen.

Ključne funkcije:

Skupni seznami opravil in osebna opravila
Sodelovalni seznami nakupov
Upravljanje gospodinjskih del z analizo pravičnega razporeditve
Sledenje in delitev stroškov
Načrtovanje obrokov z integracijo v seznam nakupov
Gospodinjski koledar za dogodke in urnike
Vabite člane s preprosto kodo
Šifriranje od konca do konca za gospodinjske podatke
Lepe temne in svetle teme
Na voljo v 42 jezikih
Deluje na Windows, macOS, iOS, Android in spletu
Wohnly je brezplačen. Prijavite se z Google ali Apple, ustvarite svoje gospodinjstvo in povabite družino ali sostanovalce, da začnete."
"WhatsNew","Text","Začetna izdaja za Windows. Vključuje popolno upravljanje gospodinjstva z opravili, seznami nakupov, gospodinjskimi deli, stroški, načrtovanjem obrokov in koledarjem."
"ProductFeatures1","Text","Skupni in osebni seznami opravil"
"ProductFeatures2","Text","Sodelovalni seznami nakupov"
"ProductFeatures3","Text","Sledenje gospodinjskim delom z analizo"
"ProductFeatures4","Text","Sledenje stroškom in delitev računov"
"ProductFeatures5","Text","Načrtovanje obrokov s sinhronizacijo sestavin"
"ProductFeatures6","Text","Gospodinjski koledar in dogodki"
"ProductFeatures7","Text","Gospodinjski podatki šifrirani od konca do konca"
"ProductFeatures8","Text","Sinhronizacija v realnem času na vseh napravah"
"ProductFeatures9","Text","Na voljo v 42 jezikih"
"ProductFeatures10","Text","Temne in svetle teme"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly je aplikacija za upravljanje gospodinjstva za družine in sostanovalce — opravila, nakupi, gospodinjska dela, stroški in načrtovanje obrokov na enem mestu."
"SearchTerms1","Text","aplikacija za upravljanje gospodinjstva"
"SearchTerms2","Text","družinski organizator"
"SearchTerms3","Text","skupni seznami opravil"
"SearchTerms4","Text","sodelovalni seznam nakupov"
"SearchTerms5","Text","upravljanje gospodinjskih del"
"SearchTerms6","Text","sledenje stroškov"
"SearchTerms7","Text","aplikacija za delitev stroškov"
"Applicable license terms","Text","Z uporabo Wohnly se strinjate s Pogoji storitve in Pravilnikom o zasebnosti, ki so na voljo na https://wohnly.app/privacy-policy. Wohnly se zagotavlja ""takšen kot je"" brez kakršnega koli jamstva. Programska oprema je brezplačna za uporabo. Podatki vašega gospodinjstva so šifrirani od konca do konca in varno shranjeni. Ohranite lastništvo vse vsebine, ki jo ustvarite v aplikaciji."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
