"Field","Type","Spanish"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly es la aplicación todo-en-uno de gestión del hogar que te ayuda a ti y a tu familia a mantenerse organizados juntos. Ya vivas con tu pareja, compañeros de piso o familia, Wohnly mantiene a todos en sintonía.

Gestiona listas de tareas compartidas, listas de la compra, tareas del hogar, gastos, planes de comidas y un calendario familiar — todo en un mismo lugar. Cada miembro del hogar puede contribuir, tachar tareas y estar al día en tiempo real.

Características principales:

Listas de tareas compartidas y tareas personales
Listas de la compra colaborativas
Gestión de tareas del hogar con análisis de reparto equitativo
Seguimiento y división de gastos
Planificación de comidas con integración en la lista de la compra
Calendario del hogar para eventos y horarios
Invitar a miembros con un código sencillo
Cifrado de extremo a extremo para los datos del hogar
Temas oscuro y claro preciosos
Disponible en 42 idiomas
Funciona en Windows, macOS, iOS, Android y web
Wohnly es gratis. Inicia sesión con Google o Apple, crea tu hogar e invita a tu familia o compañeros para empezar."
"WhatsNew","Text","Lanzamiento inicial para Windows. Incluye gestión completa del hogar con tareas, listas de la compra, tareas domésticas, gastos, planificación de comidas y calendario."
"ProductFeatures1","Text","Listas de tareas compartidas y personales"
"ProductFeatures2","Text","Listas de la compra colaborativas"
"ProductFeatures3","Text","Seguimiento de tareas del hogar con análisis"
"ProductFeatures4","Text","Seguimiento de gastos y división de facturas"
"ProductFeatures5","Text","Planificación de comidas con sincronización de ingredientes"
"ProductFeatures6","Text","Calendario del hogar y eventos"
"ProductFeatures7","Text","Datos del hogar cifrados de extremo a extremo"
"ProductFeatures8","Text","Sincronización en tiempo real en todos los dispositivos"
"ProductFeatures9","Text","Disponible en 42 idiomas"
"ProductFeatures10","Text","Temas oscuro y claro"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly es la app de gestión del hogar para familias y compañeros — tareas, compras, tareas domésticas, gastos y planificación de comidas en un solo lugar."
"SearchTerms1","Text","app de gestión del hogar"
"SearchTerms2","Text","organizador familiar"
"SearchTerms3","Text","listas de tareas compartidas"
"SearchTerms4","Text","lista de la compra colaborativa"
"SearchTerms5","Text","gestión de tareas domésticas"
"SearchTerms6","Text","seguimiento de gastos"
"SearchTerms7","Text","app para dividir gastos"
"Applicable license terms","Text","Al usar Wohnly, aceptas los Términos de Servicio y la Política de Privacidad disponibles en https://wohnly.app/privacy-policy. Wohnly se proporciona ""tal cual"" sin garantía de ningún tipo. El software es de uso gratuito. Los datos de tu hogar están cifrados de extremo a extremo y almacenados de forma segura. Conservas la propiedad de todo el contenido que crees dentro de la aplicación."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
