"Field","Type","Italian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly è l'app tutto-in-uno per la gestione della casa che aiuta te e la tua famiglia a restare organizzati insieme. Che tu viva con un partner, dei coinquilini o la famiglia, Wohnly tiene tutti sulla stessa lunghezza d'onda.

Gestisci liste di cose da fare condivise, liste della spesa, faccende domestiche, spese, piani pasto e un calendario familiare — tutto in un unico posto. Ogni membro della famiglia può contribuire, spuntare i compiti e restare aggiornato in tempo reale.

Punti di forza:

Liste di cose da fare condivise e attività personali
Liste della spesa collaborative
Gestione delle faccende domestiche con analisi della ripartizione equa
Tracciamento e suddivisione delle spese
Pianificazione dei pasti con integrazione nella lista della spesa
Calendario familiare per eventi e programmi
Invita i membri con un semplice codice
Crittografia end-to-end per i dati della famiglia
Bellissimi temi scuri e chiari
Disponibile in 42 lingue
Funziona su Windows, macOS, iOS, Android e web
Wohnly è gratuito. Accedi con Google o Apple, crea la tua famiglia e invita parenti o coinquilini per iniziare."
"WhatsNew","Text","Prima versione per Windows. Include la gestione completa della casa con todo, liste della spesa, faccende domestiche, spese, pianificazione pasti e calendario."
"ProductFeatures1","Text","Liste di cose da fare condivise e personali"
"ProductFeatures2","Text","Liste della spesa collaborative"
"ProductFeatures3","Text","Monitoraggio delle faccende con analisi"
"ProductFeatures4","Text","Monitoraggio delle spese e suddivisione delle bollette"
"ProductFeatures5","Text","Pianificazione pasti con sincronizzazione ingredienti"
"ProductFeatures6","Text","Calendario familiare ed eventi"
"ProductFeatures7","Text","Dati familiari crittografati end-to-end"
"ProductFeatures8","Text","Sincronizzazione in tempo reale su tutti i dispositivi"
"ProductFeatures9","Text","Disponibile in 42 lingue"
"ProductFeatures10","Text","Temi scuro e chiaro"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly è l'app di gestione della casa per famiglie e coinquilini — attività, spesa, faccende, spese e pianificazione pasti in un solo posto."
"SearchTerms1","Text","app gestione casa"
"SearchTerms2","Text","organizer famiglia"
"SearchTerms3","Text","liste di cose da fare condivise"
"SearchTerms4","Text","lista della spesa collaborativa"
"SearchTerms5","Text","gestione faccende domestiche"
"SearchTerms6","Text","monitoraggio spese"
"SearchTerms7","Text","app divisione spese"
"Applicable license terms","Text","Utilizzando Wohnly, accetti i Termini di servizio e l'Informativa sulla privacy disponibili su https://wohnly.app/privacy-policy. Wohnly è fornito ""così com'è"" senza alcuna garanzia. Il software è gratuito. I dati della tua famiglia sono crittografati end-to-end e archiviati in modo sicuro. Mantieni la proprietà di tutti i contenuti che crei nell'app."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
