"Field","Type","Hindi"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly एक ऑल-इन-वन घर प्रबंधन ऐप है जो आपको और आपके परिवार को मिलकर व्यवस्थित रहने में मदद करता है। चाहे आप किसी साथी, रूममेट्स या परिवार के साथ रहते हों, Wohnly सभी को एक ही पेज पर रखता है।

साझा टू-डू सूचियां, खरीदारी सूचियां, घर के काम, खर्च, भोजन योजनाएं और एक घरेलू कैलेंडर प्रबंधित करें — सब एक जगह। आपके घर का हर सदस्य योगदान दे सकता है, काम चेक कर सकता है और रियल टाइम में अपडेट रह सकता है।

मुख्य विशेषताएं:

साझा टू-डू सूचियां और व्यक्तिगत कार्य
सहयोगी खरीदारी सूचियां
निष्पक्ष हिस्सेदारी विश्लेषण के साथ घर के काम का प्रबंधन
खर्च ट्रैकिंग और विभाजन
खरीदारी सूची एकीकरण के साथ भोजन योजना
कार्यक्रमों और शेड्यूल के लिए घरेलू कैलेंडर
एक सरल कोड के साथ सदस्यों को आमंत्रित करें
घरेलू डेटा के लिए एंड-टू-एंड एन्क्रिप्शन
सुंदर डार्क और लाइट थीम
42 भाषाओं में उपलब्ध
Windows, macOS, iOS, Android और वेब पर काम करता है
Wohnly उपयोग करने के लिए मुफ्त है। Google या Apple से साइन इन करें, अपना घर बनाएं और शुरू करने के लिए परिवार या रूममेट्स को आमंत्रित करें।"
"WhatsNew","Text","Windows के लिए प्रारंभिक रिलीज़। टू-डू, खरीदारी सूचियां, घर के काम, खर्च, भोजन योजना और कैलेंडर के साथ पूर्ण घर प्रबंधन शामिल है।"
"ProductFeatures1","Text","साझा और व्यक्तिगत टू-डू सूचियां"
"ProductFeatures2","Text","सहयोगी खरीदारी सूचियां"
"ProductFeatures3","Text","विश्लेषण के साथ घर के काम की ट्रैकिंग"
"ProductFeatures4","Text","खर्च ट्रैकिंग और बिल विभाजन"
"ProductFeatures5","Text","सामग्री सिंक के साथ भोजन योजना"
"ProductFeatures6","Text","घरेलू कैलेंडर और कार्यक्रम"
"ProductFeatures7","Text","एंड-टू-एंड एन्क्रिप्टेड घरेलू डेटा"
"ProductFeatures8","Text","सभी उपकरणों पर रियल-टाइम सिंक"
"ProductFeatures9","Text","42 भाषाओं में उपलब्ध"
"ProductFeatures10","Text","डार्क और लाइट थीम"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly परिवारों और रूममेट्स के लिए घर प्रबंधन ऐप है — कार्य, खरीदारी, घर के काम, खर्च और भोजन योजना एक जगह।"
"SearchTerms1","Text","घर प्रबंधन ऐप"
"SearchTerms2","Text","पारिवारिक ऑर्गेनाइज़र ऐप"
"SearchTerms3","Text","साझा टू-डू सूचियां"
"SearchTerms4","Text","सहयोगी खरीदारी सूची"
"SearchTerms5","Text","घर के काम प्रबंधन ऐप"
"SearchTerms6","Text","खर्च ट्रैकिंग ऐप"
"SearchTerms7","Text","खर्च विभाजन ऐप"
"Applicable license terms","Text","Wohnly का उपयोग करके, आप https://wohnly.app/privacy-policy पर उपलब्ध सेवा की शर्तों और गोपनीयता नीति से सहमत होते हैं। Wohnly किसी भी प्रकार की वारंटी के बिना ""जैसा है"" प्रदान किया जाता है। सॉफ़्टवेयर उपयोग करने के लिए निःशुल्क है। आपका घरेलू डेटा एंड-टू-एंड एन्क्रिप्टेड और सुरक्षित रूप से संग्रहीत है। ऐप में आपके द्वारा बनाई गई सभी सामग्री का स्वामित्व आपके पास रहता है।"
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
