"Field","Type","Swedish"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly är den allt-i-ett-appen för hushållshantering som hjälper dig och din familj att hålla er organiserade tillsammans. Oavsett om du bor med en partner, rumskamrater eller familj, håller Wohnly alla på samma sida.

Hantera delade att-göra-listor, inköpslistor, hushållsuppgifter, utgifter, måltidsplaner och en hushållskalender — allt på ett ställe. Varje hushållsmedlem kan bidra, bocka av uppgifter och hålla sig uppdaterad i realtid.

Viktiga funktioner:

Delade att-göra-listor och personliga uppgifter
Gemensamma inköpslistor
Hantering av hushållsuppgifter med analys av rättvis fördelning
Utgiftsspårning och delning
Måltidsplanering med integration av inköpslista
Hushållskalender för händelser och scheman
Bjud in medlemmar med en enkel kod
Heltäckande kryptering av hushållsdata
Vackra mörka och ljusa teman
Tillgänglig på 42 språk
Fungerar på Windows, macOS, iOS, Android och webben
Wohnly är gratis. Logga in med Google eller Apple, skapa ditt hushåll och bjud in familj eller rumskamrater för att komma igång."
"WhatsNew","Text","Första utgåvan för Windows. Inkluderar full hushållshantering med uppgifter, inköpslistor, hushållsarbete, utgifter, måltidsplanering och kalender."
"ProductFeatures1","Text","Delade och personliga att-göra-listor"
"ProductFeatures2","Text","Gemensamma inköpslistor"
"ProductFeatures3","Text","Spårning av hushållsuppgifter med analys"
"ProductFeatures4","Text","Utgiftsspårning och delning av räkningar"
"ProductFeatures5","Text","Måltidsplanering med ingredienssynkronisering"
"ProductFeatures6","Text","Hushållskalender och händelser"
"ProductFeatures7","Text","Heltäckande krypterade hushållsdata"
"ProductFeatures8","Text","Realtidssynkronisering på alla enheter"
"ProductFeatures9","Text","Tillgänglig på 42 språk"
"ProductFeatures10","Text","Mörka och ljusa teman"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly är hushållsappen för familjer och rumskamrater — uppgifter, inköp, hushållsarbete, utgifter och måltidsplanering på ett ställe."
"SearchTerms1","Text","hushållshanteringsapp"
"SearchTerms2","Text","familjeorganisatör app"
"SearchTerms3","Text","delade att-göra-listor"
"SearchTerms4","Text","gemensam inköpslista"
"SearchTerms5","Text","hushållsuppgiftshantering"
"SearchTerms6","Text","utgiftsspårning app"
"SearchTerms7","Text","utgiftsdelningsapp"
"Applicable license terms","Text","Genom att använda Wohnly godkänner du Användarvillkoren och Integritetspolicyn som finns tillgängliga på https://wohnly.app/privacy-policy. Wohnly tillhandahålls ""i befintligt skick"" utan garanti av något slag. Programvaran är gratis att använda. Dina hushållsdata är heltäckande krypterade och säkert lagrade. Du behåller äganderätten till allt innehåll du skapar i appen."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
