"Field","Type","Korean"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly는 나와 가족이 함께 체계적으로 생활할 수 있도록 돕는 올인원 가정 관리 앱입니다. 파트너, 룸메이트, 또는 가족과 함께 살든 Wohnly가 모두를 같은 페이지에 머물게 해줍니다.

공유 할 일 목록, 쇼핑 목록, 집안일, 지출, 식단 계획, 가족 캘린더를 한 곳에서 관리하세요. 가구의 모든 구성원이 참여하고, 할 일을 체크하고, 실시간으로 업데이트를 받을 수 있습니다.

주요 기능:

공유 및 개인 할 일 목록
협업 쇼핑 목록
공평한 분담 분석이 포함된 집안일 관리
지출 추적 및 분할
쇼핑 목록 연동 식단 계획
일정 및 스케줄을 위한 가족 캘린더
간단한 코드로 가구원 초대
가정 데이터 종단간 암호화
아름다운 다크 및 라이트 테마
42개 언어 지원
Windows, macOS, iOS, Android, 웹에서 사용 가능
Wohnly는 무료입니다. Google 또는 Apple로 로그인하고 가구를 만든 뒤 가족이나 룸메이트를 초대해 시작하세요."
"WhatsNew","Text","Windows 최초 출시. 할 일, 쇼핑 목록, 집안일, 지출, 식단 계획, 캘린더를 포함한 완전한 가정 관리 기능 제공."
"ProductFeatures1","Text","공유 및 개인 할 일 목록"
"ProductFeatures2","Text","협업 쇼핑 목록"
"ProductFeatures3","Text","분석 기능이 포함된 집안일 관리"
"ProductFeatures4","Text","지출 추적 및 청구서 분할"
"ProductFeatures5","Text","재료 동기화가 포함된 식단 계획"
"ProductFeatures6","Text","가족 캘린더 및 일정"
"ProductFeatures7","Text","종단간 암호화된 가정 데이터"
"ProductFeatures8","Text","모든 기기에서 실시간 동기화"
"ProductFeatures9","Text","42개 언어 지원"
"ProductFeatures10","Text","다크 및 라이트 테마"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly는 가족과 룸메이트를 위한 가정 관리 앱 — 할 일, 쇼핑, 집안일, 지출, 식단 계획을 한 곳에서."
"SearchTerms1","Text","가정 관리 앱"
"SearchTerms2","Text","가족 정리 앱"
"SearchTerms3","Text","공유 할 일 목록"
"SearchTerms4","Text","협업 쇼핑 목록"
"SearchTerms5","Text","집안일 관리 앱"
"SearchTerms6","Text","지출 추적 앱"
"SearchTerms7","Text","지출 분할 앱"
"Applicable license terms","Text","Wohnly를 사용함으로써 https://wohnly.app/privacy-policy에서 확인할 수 있는 서비스 약관 및 개인정보 처리방침에 동의합니다. Wohnly는 어떠한 보증도 없이 ""있는 그대로"" 제공됩니다. 소프트웨어는 무료로 사용할 수 있습니다. 가정 데이터는 종단간 암호화되어 안전하게 저장됩니다. 앱 내에서 생성한 모든 콘텐츠의 소유권은 사용자에게 있습니다."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
