"Field","Type","Tamil"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly என்பது உங்களுக்கும் உங்கள் குடும்பத்தினருக்கும் ஒன்றாக ஒழுங்கமைக்க உதவும் ஆல்-இன்-ஒன் வீட்டு மேலாண்மை செயலி. நீங்கள் கூட்டாளி, அறைத்தோழர்கள் அல்லது குடும்பத்தினருடன் வாழ்ந்தாலும், Wohnly அனைவரையும் ஒரே பக்கத்தில் வைக்கிறது.

பகிரப்பட்ட பணி பட்டியல்கள், கொள்முதல் பட்டியல்கள், வீட்டு வேலைகள், செலவுகள், உணவுத் திட்டங்கள் மற்றும் வீட்டு நாட்காட்டி — அனைத்தும் ஒரே இடத்தில் நிர்வகிக்கவும். உங்கள் வீட்டின் ஒவ்வொரு உறுப்பினரும் பங்களிக்கலாம், பணிகளை சரிபார்க்கலாம் மற்றும் நிகழ்நேரத்தில் புதுப்பிக்கப்படலாம்.

முக்கிய அம்சங்கள்:

பகிரப்பட்ட மற்றும் தனிப்பட்ட பணி பட்டியல்கள்
கூட்டு கொள்முதல் பட்டியல்கள்
நியாயமான பகிர்வு பகுப்பாய்வுடன் வீட்டு வேலை மேலாண்மை
செலவு கண்காணிப்பு மற்றும் பிரிவு
கொள்முதல் பட்டியல் ஒருங்கிணைப்புடன் உணவுத் திட்டமிடல்
நிகழ்வுகள் மற்றும் அட்டவணைகளுக்கான வீட்டு நாட்காட்டி
எளிய குறியீட்டுடன் உறுப்பினர்களை அழைக்கவும்
வீட்டு தரவுக்கான முனை-முதல்-முனை குறியாக்கம்
அழகான இருள் மற்றும் வெளிர் தீம்கள்
42 மொழிகளில் கிடைக்கிறது
Windows, macOS, iOS, Android மற்றும் வலையில் செயல்படுகிறது
Wohnly இலவசமாக பயன்படுத்தலாம். Google அல்லது Apple மூலம் உள்நுழைந்து, உங்கள் வீட்டை உருவாக்கி, குடும்பத்தினர் அல்லது அறைத்தோழர்களை அழைக்கவும்."
"WhatsNew","Text","Windows க்கான ஆரம்ப வெளியீடு. பணிகள், கொள்முதல் பட்டியல்கள், வீட்டு வேலைகள், செலவுகள், உணவுத் திட்டமிடல் மற்றும் நாட்காட்டியுடன் முழு வீட்டு மேலாண்மை அடங்கியுள்ளது."
"ProductFeatures1","Text","பகிரப்பட்ட மற்றும் தனிப்பட்ட பணி பட்டியல்கள்"
"ProductFeatures2","Text","கூட்டு கொள்முதல் பட்டியல்கள்"
"ProductFeatures3","Text","பகுப்பாய்வுடன் வீட்டு வேலை கண்காணிப்பு"
"ProductFeatures4","Text","செலவு கண்காணிப்பு மற்றும் பில் பிரிவு"
"ProductFeatures5","Text","பொருட்கள் ஒத்திசைவுடன் உணவுத் திட்டமிடல்"
"ProductFeatures6","Text","வீட்டு நாட்காட்டி மற்றும் நிகழ்வுகள்"
"ProductFeatures7","Text","முனை-முதல்-முனை குறியாக்கப்பட்ட வீட்டு தரவு"
"ProductFeatures8","Text","அனைத்து சாதனங்களிலும் நிகழ்நேர ஒத்திசைவு"
"ProductFeatures9","Text","42 மொழிகளில் கிடைக்கிறது"
"ProductFeatures10","Text","இருள் மற்றும் வெளிர் தீம்கள்"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly குடும்பங்கள் மற்றும் அறைத்தோழர்களுக்கான வீட்டு மேலாண்மை செயலி — பணிகள், கொள்முதல், வீட்டு வேலைகள், செலவுகள் மற்றும் உணவுத் திட்டமிடல் ஒரே இடத்தில்."
"SearchTerms1","Text","வீட்டு மேலாண்மை செயலி"
"SearchTerms2","Text","குடும்ப ஆர்கனைசர்"
"SearchTerms3","Text","பகிரப்பட்ட பணி பட்டியல்கள்"
"SearchTerms4","Text","கூட்டு கொள்முதல் பட்டியல்"
"SearchTerms5","Text","வீட்டு வேலை மேலாண்மை"
"SearchTerms6","Text","செலவு கண்காணிப்பு"
"SearchTerms7","Text","செலவு பிரிவு செயலி"
"Applicable license terms","Text","Wohnly ஐ பயன்படுத்துவதன் மூலம், https://wohnly.app/privacy-policy இல் கிடைக்கும் சேவை விதிமுறைகள் மற்றும் தனியுரிமை கொள்கையை ஒப்புக்கொள்கிறீர்கள். Wohnly எந்த வகையான உத்தரவாதமும் இல்லாமல் ""இருக்கும்படியே"" வழங்கப்படுகிறது. மென்பொருள் இலவசமாக பயன்படுத்தலாம். உங்கள் வீட்டு தரவு முனை-முதல்-முனை குறியாக்கம் செய்யப்பட்டு பாதுகாப்பாக சேமிக்கப்படுகிறது. நீங்கள் செயலியில் உருவாக்கும் அனைத்து உள்ளடக்கங்களின் உரிமையை நீங்கள் வைத்திருக்கிறீர்கள்."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
