"Field","Type","Latvian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly ir visaptverošs mājsaimniecības pārvaldības lietotne, kas palīdz jums un jūsu ģimenei kopā palikt organizētiem. Neatkarīgi no tā, vai dzīvojat ar partneri, istabas biedriem vai ģimeni, Wohnly nodrošina, ka visi ir vienā lapā.

Pārvaldiet koplietotus uzdevumu sarakstus, iepirkumu sarakstus, mājas darbus, izdevumus, ēdienreižu plānus un mājsaimniecības kalendāru — visu vienā vietā. Katrs mājsaimniecības loceklis var dot ieguldījumu, atzīmēt uzdevumus un būt informēts reāllaikā.

Galvenās funkcijas:

Koplietoti uzdevumu saraksti un personīgie uzdevumi
Sadarbības iepirkumu saraksti
Mājas darbu pārvaldīšana ar taisnīgas sadales analīzi
Izdevumu izsekošana un dalīšana
Ēdienreižu plānošana ar iepirkumu saraksta integrāciju
Mājsaimniecības kalendārs pasākumiem un grafikiem
Uzaicināt locekļus ar vienkāršu kodu
Pilna šifrēšana mājsaimniecības datiem
Skaistas tumšas un gaišas tēmas
Pieejama 42 valodās
Darbojas Windows, macOS, iOS, Android un tīmeklī
Wohnly ir bez maksas. Pierakstieties ar Google vai Apple, izveidojiet savu mājsaimniecību un uzaiciniet ģimeni vai istabas biedrus sākt darbu."
"WhatsNew","Text","Sākotnējais izlaidums Windows sistēmai. Ietver pilnīgu mājsaimniecības pārvaldību ar uzdevumiem, iepirkumu sarakstiem, mājas darbiem, izdevumiem, ēdienreižu plānošanu un kalendāru."
"ProductFeatures1","Text","Koplietoti un personīgie uzdevumu saraksti"
"ProductFeatures2","Text","Sadarbības iepirkumu saraksti"
"ProductFeatures3","Text","Mājas darbu izsekošana ar analīzi"
"ProductFeatures4","Text","Izdevumu izsekošana un rēķinu dalīšana"
"ProductFeatures5","Text","Ēdienreižu plānošana ar ingredientu sinhronizāciju"
"ProductFeatures6","Text","Mājsaimniecības kalendārs un pasākumi"
"ProductFeatures7","Text","Pilnīgi šifrēti mājsaimniecības dati"
"ProductFeatures8","Text","Reāllaika sinhronizācija visās ierīcēs"
"ProductFeatures9","Text","Pieejama 42 valodās"
"ProductFeatures10","Text","Tumšas un gaišas tēmas"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly ir mājsaimniecības pārvaldības lietotne ģimenēm un istabas biedriem — uzdevumi, iepirkumi, mājas darbi, izdevumi un ēdienreižu plānošana vienā vietā."
"SearchTerms1","Text","mājsaimniecības pārvaldības lietotne"
"SearchTerms2","Text","ģimenes organizators"
"SearchTerms3","Text","koplietoti uzdevumu saraksti"
"SearchTerms4","Text","sadarbības iepirkumu saraksts"
"SearchTerms5","Text","mājas darbu pārvaldīšana"
"SearchTerms6","Text","izdevumu izsekošana"
"SearchTerms7","Text","izdevumu dalīšanas lietotne"
"Applicable license terms","Text","Izmantojot Wohnly, jūs piekrītat Pakalpojumu noteikumiem un Privātuma politikai, kas pieejama vietnē https://wohnly.app/privacy-policy. Wohnly tiek nodrošināts ""tāds, kāds ir"" bez jebkādas garantijas. Programmatūra ir bezmaksas lietošanai. Jūsu mājsaimniecības dati ir pilnīgi šifrēti un droši glabāti. Jūs saglabājat īpašumtiesības uz visu lietotnes saturu, ko esat izveidojis."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
