"Field","Type","Danish"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly er den altomfattende app til husholdningsstyring, der hjælper dig og din familie med at holde styr på tingene sammen. Uanset om du bor med en partner, bofæller eller familie, holder Wohnly alle på samme side.

Administrer delte opgavelister, indkøbslister, huslige pligter, udgifter, madplaner og en husstandskalender — alt på ét sted. Alle medlemmer af din husstand kan bidrage, afkrydse opgaver og holde sig opdateret i realtid.

Nøglefunktioner:

Delte opgavelister og personlige opgaver
Fælles indkøbslister
Styring af huslige pligter med analyse af fair fordeling
Udgiftssporing og opdeling
Madplanlægning med integration af indkøbsliste
Husstandskalender til begivenheder og tidsplaner
Inviter medlemmer med en simpel kode
End-to-end-kryptering af husstandsdata
Smukke mørke og lyse temaer
Tilgængelig på 42 sprog
Virker på Windows, macOS, iOS, Android og web
Wohnly er gratis. Log ind med Google eller Apple, opret din husstand, og inviter familie eller bofæller for at komme i gang."
"WhatsNew","Text","Første udgivelse til Windows. Inkluderer fuld husholdningsstyring med opgaver, indkøbslister, huslige pligter, udgifter, madplanlægning og kalender."
"ProductFeatures1","Text","Delte og personlige opgavelister"
"ProductFeatures2","Text","Fælles indkøbslister"
"ProductFeatures3","Text","Sporing af huslige pligter med analyse"
"ProductFeatures4","Text","Udgiftssporing og regningsdeling"
"ProductFeatures5","Text","Madplanlægning med ingredienssync"
"ProductFeatures6","Text","Husstandskalender og begivenheder"
"ProductFeatures7","Text","End-to-end-krypterede husstandsdata"
"ProductFeatures8","Text","Realtidssynkronisering på alle enheder"
"ProductFeatures9","Text","Tilgængelig på 42 sprog"
"ProductFeatures10","Text","Mørke og lyse temaer"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly er husholdningsappen til familier og bofæller — opgaver, indkøb, huslige pligter, udgifter og madplanlægning samlet ét sted."
"SearchTerms1","Text","husholdningsstyring app"
"SearchTerms2","Text","familie organizer app"
"SearchTerms3","Text","delte opgavelister"
"SearchTerms4","Text","fælles indkøbsliste"
"SearchTerms5","Text","huslige pligter app"
"SearchTerms6","Text","udgiftssporing app"
"SearchTerms7","Text","udgiftsdeling app"
"Applicable license terms","Text","Ved at bruge Wohnly accepterer du Servicevilkårene og Privatlivspolitikken, der er tilgængelig på https://wohnly.app/privacy-policy. Wohnly leveres ""som det er"" uden garanti af nogen art. Softwaren er gratis at bruge. Dine husstandsdata er end-to-end-krypteret og opbevaret sikkert. Du bevarer ejerskabet over alt indhold, du opretter i appen."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
