"Field","Type","Malay"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly ialah aplikasi pengurusan rumah tangga semua-dalam-satu yang membantu anda dan keluarga kekal teratur bersama. Sama ada anda tinggal bersama pasangan, rakan serumah, atau keluarga, Wohnly memastikan semua orang berada di halaman yang sama.

Uruskan senarai tugasan bersama, senarai belanja, kerja-kerja rumah, perbelanjaan, rancangan makan, dan kalendar rumah tangga — semuanya di satu tempat. Setiap ahli rumah tangga boleh menyumbang, menanda tugasan, dan kekal dikemas kini dalam masa nyata.

Ciri-ciri utama:

Senarai tugasan bersama dan tugasan peribadi
Senarai belanja kolaboratif
Pengurusan kerja-kerja rumah dengan analitik bahagian yang adil
Penjejakan dan pembahagian perbelanjaan
Perancangan makan dengan integrasi senarai belanja
Kalendar rumah tangga untuk acara dan jadual
Jemput ahli dengan kod mudah
Penyulitan hujung ke hujung untuk data rumah tangga
Tema gelap dan terang yang indah
Tersedia dalam 42 bahasa
Berfungsi pada Windows, macOS, iOS, Android, dan web
Wohnly percuma digunakan. Log masuk dengan Google atau Apple, cipta rumah tangga anda, dan jemput keluarga atau rakan serumah untuk bermula."
"WhatsNew","Text","Keluaran pertama untuk Windows. Termasuk pengurusan rumah tangga penuh dengan tugasan, senarai belanja, kerja rumah, perbelanjaan, perancangan makan, dan kalendar."
"ProductFeatures1","Text","Senarai tugasan bersama dan peribadi"
"ProductFeatures2","Text","Senarai belanja kolaboratif"
"ProductFeatures3","Text","Penjejakan kerja rumah dengan analitik"
"ProductFeatures4","Text","Penjejakan perbelanjaan dan pembahagian bil"
"ProductFeatures5","Text","Perancangan makan dengan penyegerakan bahan"
"ProductFeatures6","Text","Kalendar rumah tangga dan acara"
"ProductFeatures7","Text","Data rumah tangga disulitkan hujung ke hujung"
"ProductFeatures8","Text","Penyegerakan masa nyata di semua peranti"
"ProductFeatures9","Text","Tersedia dalam 42 bahasa"
"ProductFeatures10","Text","Tema gelap dan terang"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly ialah apl pengurusan rumah tangga untuk keluarga dan rakan serumah — tugasan, belanja, kerja rumah, perbelanjaan, dan perancangan makan di satu tempat."
"SearchTerms1","Text","aplikasi pengurusan rumah tangga"
"SearchTerms2","Text","pengatur keluarga"
"SearchTerms3","Text","senarai tugasan bersama"
"SearchTerms4","Text","senarai belanja bersama"
"SearchTerms5","Text","pengurusan kerja rumah"
"SearchTerms6","Text","penjejakan perbelanjaan"
"SearchTerms7","Text","aplikasi bahagi perbelanjaan"
"Applicable license terms","Text","Dengan menggunakan Wohnly, anda bersetuju dengan Terma Perkhidmatan dan Dasar Privasi yang tersedia di https://wohnly.app/privacy-policy. Wohnly disediakan ""sebagaimana adanya"" tanpa sebarang jaminan. Perisian ini percuma digunakan. Data rumah tangga anda disulitkan hujung ke hujung dan disimpan dengan selamat. Anda mengekalkan pemilikan semua kandungan yang anda cipta dalam aplikasi."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
