"Field","Type","Dutch"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly is de alles-in-één huishoudbeheersapp die jou en je gezin helpt samen georganiseerd te blijven. Of je nu met een partner, huisgenoten of familie samenwoont, Wohnly zorgt dat iedereen op dezelfde lijn zit.

Beheer gedeelde takenlijsten, boodschappenlijsten, huishoudelijke klusjes, uitgaven, maaltijdplannen en een huishoudkalender — alles op één plek. Elk lid van het huishouden kan bijdragen, taken afvinken en in realtime op de hoogte blijven.

Belangrijkste functies:

Gedeelde takenlijsten en persoonlijke taken
Gezamenlijke boodschappenlijsten
Beheer van huishoudelijke taken met analyse van eerlijke verdeling
Uitgaven bijhouden en splitsen
Maaltijdplanning met koppeling aan de boodschappenlijst
Huishoudkalender voor afspraken en schema's
Leden uitnodigen met een eenvoudige code
End-to-end-versleuteling voor huishoudgegevens
Prachtige donkere en lichte thema's
Beschikbaar in 42 talen
Werkt op Windows, macOS, iOS, Android en web
Wohnly is gratis. Log in met Google of Apple, maak je huishouden aan en nodig familie of huisgenoten uit om te beginnen."
"WhatsNew","Text","Eerste release voor Windows. Inclusief volledig huishoudbeheer met taken, boodschappenlijsten, huishoudklusjes, uitgaven, maaltijdplanning en kalender."
"ProductFeatures1","Text","Gedeelde en persoonlijke takenlijsten"
"ProductFeatures2","Text","Gezamenlijke boodschappenlijsten"
"ProductFeatures3","Text","Bijhouden van huishoudklusjes met analyse"
"ProductFeatures4","Text","Uitgaven bijhouden en rekeningen splitsen"
"ProductFeatures5","Text","Maaltijdplanning met ingrediëntensync"
"ProductFeatures6","Text","Huishoudkalender en afspraken"
"ProductFeatures7","Text","End-to-end versleutelde huishoudgegevens"
"ProductFeatures8","Text","Realtime synchronisatie op alle apparaten"
"ProductFeatures9","Text","Beschikbaar in 42 talen"
"ProductFeatures10","Text","Donkere en lichte thema's"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly is de huishoudapp voor gezinnen en huisgenoten — taken, boodschappen, klusjes, uitgaven en maaltijdplanning op één plek."
"SearchTerms1","Text","huishoudbeheersapp"
"SearchTerms2","Text","gezinsorganizer app"
"SearchTerms3","Text","gedeelde takenlijsten"
"SearchTerms4","Text","gezamenlijke boodschappenlijst"
"SearchTerms5","Text","huishoudelijke taken app"
"SearchTerms6","Text","uitgaven bijhouden app"
"SearchTerms7","Text","kosten delen app"
"Applicable license terms","Text","Door Wohnly te gebruiken, ga je akkoord met de Servicevoorwaarden en het Privacybeleid die beschikbaar zijn op https://wohnly.app/privacy-policy. Wohnly wordt geleverd ""zoals het is"" zonder enige garantie. De software is gratis te gebruiken. Je huishoudgegevens zijn end-to-end versleuteld en veilig opgeslagen. Je behoudt het eigendom van alle inhoud die je in de app aanmaakt."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
