"Field","Type","German"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly ist die All-in-One-App für das Haushaltsmanagement, die dir und deiner Familie hilft, gemeinsam organisiert zu bleiben. Egal ob du mit einem Partner, Mitbewohnern oder der Familie zusammenlebst – Wohnly hält alle auf dem gleichen Stand.

Verwalte gemeinsame Aufgabenlisten, Einkaufslisten, Haushaltsaufgaben, Ausgaben, Essenspläne und einen Haushaltskalender – alles an einem Ort. Jedes Mitglied deines Haushalts kann mitmachen, Aufgaben abhaken und in Echtzeit auf dem Laufenden bleiben.

Die wichtigsten Funktionen:

Gemeinsame Aufgabenlisten und persönliche To-dos
Kollaborative Einkaufslisten
Haushaltsaufgaben mit fairer Aufgabenverteilung und Analyse
Ausgabenverfolgung und Kostenteilung
Essensplanung mit Einkaufslisten-Integration
Haushaltskalender für Termine und Pläne
Mitglieder per einfachem Code einladen
Ende-zu-Ende-Verschlüsselung für Haushaltsdaten
Ansprechendes dunkles und helles Design
In 42 Sprachen verfügbar
Funktioniert auf Windows, macOS, iOS, Android und im Web
Wohnly ist kostenlos. Melde dich mit Google oder Apple an, erstelle deinen Haushalt und lade Familie oder Mitbewohner ein, um loszulegen."
"WhatsNew","Text","Erstveröffentlichung für Windows. Enthält die vollständige Haushaltsverwaltung mit Aufgaben, Einkaufslisten, Haushaltsaufgaben, Ausgaben, Essensplanung und Kalender."
"ProductFeatures1","Text","Gemeinsame und persönliche Aufgabenlisten"
"ProductFeatures2","Text","Kollaborative Einkaufslisten"
"ProductFeatures3","Text","Haushaltsaufgaben mit Verteilungsanalyse"
"ProductFeatures4","Text","Ausgabenverfolgung und Kostenaufteilung"
"ProductFeatures5","Text","Essensplanung mit Zutaten-Synchronisierung"
"ProductFeatures6","Text","Haushaltskalender und Termine"
"ProductFeatures7","Text","Ende-zu-Ende-verschlüsselte Haushaltsdaten"
"ProductFeatures8","Text","Echtzeit-Synchronisierung auf allen Geräten"
"ProductFeatures9","Text","In 42 Sprachen verfügbar"
"ProductFeatures10","Text","Dunkles und helles Design"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly ist die Haushalts-App für Familien und Mitbewohner – Aufgaben, Einkauf, Hausarbeit, Ausgaben und Essensplanung an einem Ort."
"SearchTerms1","Text","Haushaltsverwaltung App"
"SearchTerms2","Text","Familien-Organizer App"
"SearchTerms3","Text","gemeinsame Aufgabenlisten"
"SearchTerms4","Text","kollaborative Einkaufsliste"
"SearchTerms5","Text","Haushaltsaufgaben App"
"SearchTerms6","Text","Ausgaben verfolgen App"
"SearchTerms7","Text","Kosten teilen App"
"Applicable license terms","Text","Durch die Nutzung von Wohnly stimmst du den Nutzungsbedingungen und der Datenschutzrichtlinie zu, die unter https://wohnly.app/privacy-policy abrufbar sind. Wohnly wird ohne jegliche Gewährleistung „wie besehen"" bereitgestellt. Die Software ist kostenlos nutzbar. Deine Haushaltsdaten sind Ende-zu-Ende-verschlüsselt und sicher gespeichert. Du behältst das Eigentum an allen Inhalten, die du in der App erstellst."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
