"Field","Type","Marathi"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly हे एक सर्वसमावेशक घर व्यवस्थापन अॅप आहे जे तुम्हाला आणि तुमच्या कुटुंबाला एकत्र संघटित राहण्यास मदत करते. तुम्ही जोडीदार, रूममेट्स किंवा कुटुंबासोबत राहत असाल, Wohnly सर्वांना एकाच पानावर ठेवते.

शेअर केलेल्या कार्य सूची, खरेदी सूची, घरकाम, खर्च, जेवण योजना आणि घरेलू दिनदर्शिका एका ठिकाणी व्यवस्थापित करा. घरातील प्रत्येक सदस्य योगदान देऊ शकतो, कार्ये तपासू शकतो आणि रिअल टाइममध्ये अपडेट राहू शकतो.

मुख्य वैशिष्ट्ये:

शेअर केलेल्या आणि वैयक्तिक कार्य सूची
सहयोगी खरेदी सूची
न्याय्य वाटप विश्लेषणासह घरकाम व्यवस्थापन
खर्च ट्रॅकिंग आणि विभाजन
खरेदी सूची एकत्रीकरणासह जेवण नियोजन
कार्यक्रम आणि वेळापत्रकांसाठी घरेलू दिनदर्शिका
साध्या कोडसह सदस्यांना आमंत्रित करा
घरेलू डेटासाठी एंड-टू-एंड एन्क्रिप्शन
सुंदर डार्क आणि लाइट थीम
42 भाषांमध्ये उपलब्ध
Windows, macOS, iOS, Android आणि वेबवर कार्य करते
Wohnly वापरण्यास विनामूल्य आहे. Google किंवा Apple सह साइन इन करा, तुमचे घर तयार करा आणि सुरू करण्यासाठी कुटुंब किंवा रूममेट्सना आमंत्रित करा."
"WhatsNew","Text","Windows साठी प्रारंभिक रिलीझ. टू-डू, खरेदी सूची, घरकाम, खर्च, जेवण नियोजन आणि दिनदर्शिकेसह संपूर्ण घर व्यवस्थापन समाविष्ट आहे."
"ProductFeatures1","Text","शेअर केलेल्या आणि वैयक्तिक कार्य सूची"
"ProductFeatures2","Text","सहयोगी खरेदी सूची"
"ProductFeatures3","Text","विश्लेषणासह घरकाम ट्रॅकिंग"
"ProductFeatures4","Text","खर्च ट्रॅकिंग आणि बिल विभाजन"
"ProductFeatures5","Text","घटक सिंकसह जेवण नियोजन"
"ProductFeatures6","Text","घरेलू दिनदर्शिका आणि कार्यक्रम"
"ProductFeatures7","Text","एंड-टू-एंड एन्क्रिप्टेड घरेलू डेटा"
"ProductFeatures8","Text","सर्व डिव्हाइसवर रिअल-टाइम सिंक"
"ProductFeatures9","Text","42 भाषांमध्ये उपलब्ध"
"ProductFeatures10","Text","डार्क आणि लाइट थीम"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly हे कुटुंब आणि रूममेट्ससाठी घर व्यवस्थापन अॅप आहे — कार्ये, खरेदी, घरकाम, खर्च आणि जेवण नियोजन एका ठिकाणी."
"SearchTerms1","Text","घर व्यवस्थापन अॅप"
"SearchTerms2","Text","कौटुंबिक आयोजक"
"SearchTerms3","Text","शेअर केलेल्या कार्य सूची"
"SearchTerms4","Text","सहयोगी खरेदी सूची"
"SearchTerms5","Text","घरकाम व्यवस्थापन"
"SearchTerms6","Text","खर्च ट्रॅकिंग अॅप"
"SearchTerms7","Text","खर्च विभाजन अॅप"
"Applicable license terms","Text","Wohnly वापरून, तुम्ही https://wohnly.app/privacy-policy वर उपलब्ध सेवेच्या अटी आणि गोपनीयता धोरणाशी सहमत आहात. Wohnly कोणत्याही प्रकारच्या वॉरंटीशिवाय ""जसे आहे तसे"" प्रदान केले जाते. सॉफ्टवेअर वापरण्यास विनामूल्य आहे. तुमचा घरेलू डेटा एंड-टू-एंड एन्क्रिप्टेड आणि सुरक्षितपणे संग्रहीत आहे. अॅपमध्ये तुम्ही तयार केलेल्या सर्व सामग्रीची मालकी तुमच्याकडेच राहते."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
