"Field","Type","French"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly est l'application tout-en-un de gestion du foyer qui vous aide, vous et votre famille, à rester organisés ensemble. Que vous viviez avec un partenaire, des colocataires ou votre famille, Wohnly garde tout le monde sur la même longueur d'onde.

Gérez des listes de tâches partagées, des listes de courses, des corvées, des dépenses, des plans de repas et un calendrier familial — tout en un seul endroit. Chaque membre du foyer peut contribuer, cocher des tâches et rester informé en temps réel.

Points forts :

Listes de tâches partagées et tâches personnelles
Listes de courses collaboratives
Gestion des corvées avec analyse du partage équitable
Suivi et partage des dépenses
Planification des repas avec intégration à la liste de courses
Calendrier familial pour les événements et plannings
Inviter des membres avec un code simple
Chiffrement de bout en bout pour les données du foyer
Thèmes sombres et clairs magnifiques
Disponible en 42 langues
Fonctionne sur Windows, macOS, iOS, Android et le web
Wohnly est gratuit. Connectez-vous avec Google ou Apple, créez votre foyer et invitez votre famille ou vos colocataires pour commencer."
"WhatsNew","Text","Première version pour Windows. Comprend la gestion complète du foyer avec todos, listes de courses, corvées, dépenses, planification des repas et calendrier."
"ProductFeatures1","Text","Listes de tâches partagées et personnelles"
"ProductFeatures2","Text","Listes de courses collaboratives"
"ProductFeatures3","Text","Suivi des corvées avec analyse"
"ProductFeatures4","Text","Suivi des dépenses et partage des factures"
"ProductFeatures5","Text","Planification des repas avec synchronisation des ingrédients"
"ProductFeatures6","Text","Calendrier familial et événements"
"ProductFeatures7","Text","Données du foyer chiffrées de bout en bout"
"ProductFeatures8","Text","Synchronisation en temps réel sur tous les appareils"
"ProductFeatures9","Text","Disponible en 42 langues"
"ProductFeatures10","Text","Thèmes sombre et clair"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly est l'app de gestion du foyer pour familles et colocataires — tâches, courses, corvées, dépenses et repas réunis en un seul endroit."
"SearchTerms1","Text","application gestion foyer"
"SearchTerms2","Text","organisateur familial"
"SearchTerms3","Text","listes de tâches partagées"
"SearchTerms4","Text","liste de courses collaborative"
"SearchTerms5","Text","gestion des corvées"
"SearchTerms6","Text","suivi des dépenses"
"SearchTerms7","Text","partage de dépenses application"
"Applicable license terms","Text","En utilisant Wohnly, vous acceptez les Conditions d'utilisation et la Politique de confidentialité disponibles sur https://wohnly.app/privacy-policy. Wohnly est fourni « en l'état » sans garantie d'aucune sorte. Le logiciel est gratuit. Les données de votre foyer sont chiffrées de bout en bout et stockées en toute sécurité. Vous conservez la propriété de tout le contenu que vous créez dans l'application."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
