"Field","Type","Telugu"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly అనేది మీకు మరియు మీ కుటుంబానికి కలిసి వ్యవస్థీకృతంగా ఉండటానికి సహాయపడే ఆల్-ఇన్-వన్ గృహ నిర్వహణ యాప్. మీరు భాగస్వామి, రూమ్‌మేట్లు లేదా కుటుంబంతో నివసిస్తున్నా సరే, Wohnly అందరినీ ఒకే పేజీలో ఉంచుతుంది.

పంచుకున్న పని జాబితాలు, షాపింగ్ జాబితాలు, ఇంటి పనులు, ఖర్చులు, భోజన ప్రణాళికలు మరియు గృహ క్యాలెండర్‌ను నిర్వహించండి — అన్నీ ఒకే చోట. మీ గృహంలోని ప్రతి సభ్యుడు సహకరించవచ్చు, పనులను తనిఖీ చేయవచ్చు మరియు నిజ సమయంలో నవీకరించబడవచ్చు.

ముఖ్య లక్షణాలు:

పంచుకున్న మరియు వ్యక్తిగత పని జాబితాలు
సహకార షాపింగ్ జాబితాలు
న్యాయమైన పంపిణీ విశ్లేషణతో ఇంటి పని నిర్వహణ
ఖర్చు ట్రాకింగ్ మరియు విభజన
షాపింగ్ జాబితా ఏకీకరణతో భోజన ప్రణాళిక
ఈవెంట్లు మరియు షెడ్యూల్‌ల కోసం గృహ క్యాలెండర్
సాధారణ కోడ్‌తో సభ్యులను ఆహ్వానించండి
గృహ డేటాకు ఎండ్-టు-ఎండ్ ఎన్‌క్రిప్షన్
అందమైన డార్క్ మరియు లైట్ థీమ్‌లు
42 భాషల్లో అందుబాటులో ఉంది
Windows, macOS, iOS, Android మరియు వెబ్‌లో పనిచేస్తుంది
Wohnly ఉచితంగా ఉపయోగించవచ్చు. Google లేదా Apple తో సైన్ ఇన్ చేసి, మీ గృహాన్ని సృష్టించి, కుటుంబం లేదా రూమ్‌మేట్‌లను ఆహ్వానించండి."
"WhatsNew","Text","Windows కోసం ప్రారంభ విడుదల. పనులు, షాపింగ్ జాబితాలు, ఇంటి పనులు, ఖర్చులు, భోజన ప్రణాళిక మరియు క్యాలెండర్‌తో పూర్తి గృహ నిర్వహణ ఉంటుంది."
"ProductFeatures1","Text","పంచుకున్న మరియు వ్యక్తిగత పని జాబితాలు"
"ProductFeatures2","Text","సహకార షాపింగ్ జాబితాలు"
"ProductFeatures3","Text","విశ్లేషణతో ఇంటి పని ట్రాకింగ్"
"ProductFeatures4","Text","ఖర్చు ట్రాకింగ్ మరియు బిల్ విభజన"
"ProductFeatures5","Text","పదార్థాల సమకాలీకరణతో భోజన ప్రణాళిక"
"ProductFeatures6","Text","గృహ క్యాలెండర్ మరియు ఈవెంట్లు"
"ProductFeatures7","Text","ఎండ్-టు-ఎండ్ ఎన్‌క్రిప్టెడ్ గృహ డేటా"
"ProductFeatures8","Text","అన్ని పరికరాలలో నిజ-సమయ సమకాలీకరణ"
"ProductFeatures9","Text","42 భాషల్లో అందుబాటులో ఉంది"
"ProductFeatures10","Text","డార్క్ మరియు లైట్ థీమ్‌లు"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly కుటుంబాలు మరియు రూమ్‌మేట్‌ల కోసం గృహ నిర్వహణ యాప్ — పనులు, షాపింగ్, ఇంటి పనులు, ఖర్చులు మరియు భోజన ప్రణాళిక ఒకే చోట."
"SearchTerms1","Text","గృహ నిర్వహణ యాప్"
"SearchTerms2","Text","కుటుంబ ఆర్గనైజర్"
"SearchTerms3","Text","పంచుకున్న పని జాబితాలు"
"SearchTerms4","Text","సహకార షాపింగ్ జాబితా"
"SearchTerms5","Text","ఇంటి పని నిర్వహణ"
"SearchTerms6","Text","ఖర్చు ట్రాకింగ్ యాప్"
"SearchTerms7","Text","ఖర్చు విభజన యాప్"
"Applicable license terms","Text","Wohnly ని ఉపయోగించడం ద్వారా, మీరు https://wohnly.app/privacy-policy లో అందుబాటులో ఉన్న సేవా నిబంధనలు మరియు గోప్యతా విధానంతో అంగీకరిస్తున్నారు. Wohnly ఎటువంటి వారంటీ లేకుండా ""ఉన్నట్లుగా"" అందించబడుతుంది. సాఫ్ట్‌వేర్ ఉచితంగా ఉపయోగించవచ్చు. మీ గృహ డేటా ఎండ్-టు-ఎండ్ ఎన్‌క్రిప్ట్ చేయబడి సురక్షితంగా నిల్వ చేయబడుతుంది. మీరు యాప్‌లో సృష్టించిన అన్ని కంటెంట్‌పై మీకు యాజమాన్యం ఉంటుంది."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
