"Field","Type","Indonesian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly adalah aplikasi manajemen rumah tangga all-in-one yang membantu Anda dan keluarga tetap terorganisir bersama. Baik Anda tinggal bersama pasangan, teman sekamar, atau keluarga, Wohnly membuat semua orang berada di halaman yang sama.

Kelola daftar tugas bersama, daftar belanja, pekerjaan rumah, pengeluaran, rencana makan, dan kalender rumah tangga — semua dalam satu tempat. Setiap anggota rumah tangga dapat berkontribusi, mencentang tugas, dan tetap terupdate secara real time.

Fitur utama:

Daftar tugas bersama dan tugas pribadi
Daftar belanja kolaboratif
Manajemen pekerjaan rumah dengan analitik pembagian yang adil
Pelacakan dan pembagian pengeluaran
Perencanaan makan dengan integrasi daftar belanja
Kalender rumah tangga untuk acara dan jadwal
Undang anggota dengan kode sederhana
Enkripsi end-to-end untuk data rumah tangga
Tema gelap dan terang yang indah
Tersedia dalam 42 bahasa
Berfungsi di Windows, macOS, iOS, Android, dan web
Wohnly gratis digunakan. Masuk dengan Google atau Apple, buat rumah tangga Anda, dan undang keluarga atau teman sekamar untuk memulai."
"WhatsNew","Text","Rilis awal untuk Windows. Mencakup manajemen rumah tangga lengkap dengan tugas, daftar belanja, pekerjaan rumah, pengeluaran, perencanaan makan, dan kalender."
"ProductFeatures1","Text","Daftar tugas bersama dan pribadi"
"ProductFeatures2","Text","Daftar belanja kolaboratif"
"ProductFeatures3","Text","Pelacakan pekerjaan rumah dengan analitik"
"ProductFeatures4","Text","Pelacakan pengeluaran dan pembagian tagihan"
"ProductFeatures5","Text","Perencanaan makan dengan sinkronisasi bahan"
"ProductFeatures6","Text","Kalender rumah tangga dan acara"
"ProductFeatures7","Text","Data rumah tangga terenkripsi end-to-end"
"ProductFeatures8","Text","Sinkronisasi real-time di semua perangkat"
"ProductFeatures9","Text","Tersedia dalam 42 bahasa"
"ProductFeatures10","Text","Tema gelap dan terang"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly adalah aplikasi manajemen rumah tangga untuk keluarga dan teman sekamar — tugas, belanja, pekerjaan rumah, pengeluaran, dan rencana makan dalam satu tempat."
"SearchTerms1","Text","aplikasi manajemen rumah tangga"
"SearchTerms2","Text","pengatur keluarga"
"SearchTerms3","Text","daftar tugas bersama"
"SearchTerms4","Text","daftar belanja kolaboratif"
"SearchTerms5","Text","manajemen pekerjaan rumah"
"SearchTerms6","Text","pelacakan pengeluaran"
"SearchTerms7","Text","aplikasi bagi-bagi tagihan"
"Applicable license terms","Text","Dengan menggunakan Wohnly, Anda menyetujui Ketentuan Layanan dan Kebijakan Privasi yang tersedia di https://wohnly.app/privacy-policy. Wohnly disediakan ""apa adanya"" tanpa jaminan apa pun. Perangkat lunak ini gratis digunakan. Data rumah tangga Anda dienkripsi end-to-end dan disimpan dengan aman. Anda mempertahankan kepemilikan atas semua konten yang Anda buat di dalam aplikasi."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
