"Field","Type","Turkish"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly, sizi ve ailenizi birlikte düzenli kalmaya yardımcı olan hepsi bir arada ev yönetimi uygulamasıdır. Bir partner, ev arkadaşları veya aileyle yaşıyor olun, Wohnly herkesi aynı sayfada tutar.

Paylaşılan yapılacaklar listelerini, alışveriş listelerini, ev işlerini, harcamaları, yemek planlarını ve bir ev takvimini yönetin — hepsi tek bir yerde. Evinizin her üyesi katkıda bulunabilir, görevleri işaretleyebilir ve gerçek zamanlı olarak güncel kalabilir.

Temel özellikler:

Paylaşılan yapılacaklar listeleri ve kişisel görevler
İşbirliğine dayalı alışveriş listeleri
Adil paylaşım analitiği ile ev işi yönetimi
Harcama takibi ve bölüşme
Alışveriş listesi entegrasyonlu yemek planlaması
Etkinlikler ve programlar için ev takvimi
Basit bir kodla üye davet edin
Ev verileri için uçtan uca şifreleme
Güzel koyu ve açık temalar
42 dilde mevcut
Windows, macOS, iOS, Android ve web'de çalışır
Wohnly ücretsizdir. Google veya Apple ile giriş yapın, evinizi oluşturun ve başlamak için aile ya da ev arkadaşlarını davet edin."
"WhatsNew","Text","Windows için ilk sürüm. Görevler, alışveriş listeleri, ev işleri, harcamalar, yemek planlaması ve takvim ile tam ev yönetimi içerir."
"ProductFeatures1","Text","Paylaşılan ve kişisel yapılacaklar listeleri"
"ProductFeatures2","Text","İşbirliğine dayalı alışveriş listeleri"
"ProductFeatures3","Text","Analitiği olan ev işi takibi"
"ProductFeatures4","Text","Harcama takibi ve fatura bölüşme"
"ProductFeatures5","Text","Malzeme senkronizasyonlu yemek planlaması"
"ProductFeatures6","Text","Ev takvimi ve etkinlikler"
"ProductFeatures7","Text","Uçtan uca şifreli ev verileri"
"ProductFeatures8","Text","Tüm cihazlarda gerçek zamanlı senkronizasyon"
"ProductFeatures9","Text","42 dilde mevcut"
"ProductFeatures10","Text","Koyu ve açık temalar"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly aileler ve ev arkadaşları için ev yönetimi uygulamasıdır — görevler, alışveriş, ev işleri, harcamalar ve yemek planlaması tek bir yerde."
"SearchTerms1","Text","ev yönetimi uygulaması"
"SearchTerms2","Text","aile organizasyon uygulaması"
"SearchTerms3","Text","paylaşılan yapılacaklar listeleri"
"SearchTerms4","Text","ortak alışveriş listesi"
"SearchTerms5","Text","ev işleri yönetimi"
"SearchTerms6","Text","harcama takip uygulaması"
"SearchTerms7","Text","harcama bölüşme uygulaması"
"Applicable license terms","Text","Wohnly'yi kullanarak, https://wohnly.app/privacy-policy adresinde bulunan Hizmet Şartları ve Gizlilik Politikasını kabul etmiş olursunuz. Wohnly, hiçbir garanti olmaksızın ""olduğu gibi"" sağlanmaktadır. Yazılım ücretsiz kullanılabilir. Ev verileriniz uçtan uca şifrelenmiş ve güvenli bir şekilde depolanmıştır. Uygulama içinde oluşturduğunuz tüm içeriklerin mülkiyetini siz korursunuz."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
