"Field","Type","Lithuanian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly – tai visapusiška namų ūkio valdymo programa, padedanti jums ir jūsų šeimai kartu išlikti organizuotiems. Nesvarbu, ar gyvenate su partneriu, kambario draugais ar šeima, Wohnly užtikrina, kad visi būtų toje pačioje pusėje.

Valdykite bendrus darbų sąrašus, pirkinių sąrašus, namų ruošos darbus, išlaidas, maitinimosi planus ir namų ūkio kalendorių – viską vienoje vietoje. Kiekvienas namų ūkio narys gali prisidėti, pažymėti užduotis ir gauti atnaujinimus realiuoju laiku.

Pagrindinės funkcijos:

Bendri darbų sąrašai ir asmeninės užduotys
Bendradarbiavimo pirkinių sąrašai
Namų ruošos darbų valdymas su sąžiningo paskirstymo analize
Išlaidų sekimas ir pasidalijimas
Maitinimosi planavimas su pirkinių sąrašo integracija
Namų ūkio kalendorius renginiams ir tvarkaraščiams
Pakviesti narius paprastu kodu
Galinis-galinis šifravimas namų ūkio duomenims
Gražios tamsios ir šviesios temos
Prieinama 42 kalbomis
Veikia Windows, macOS, iOS, Android ir žiniatinklyje
Wohnly yra nemokama. Prisijunkite naudodami Google arba Apple, sukurkite savo namų ūkį ir pakvieskite šeimą ar kambario draugus pradėti."
"WhatsNew","Text","Pradinis leidimas Windows sistemai. Apima visišką namų ūkio valdymą su užduotimis, pirkinių sąrašais, namų ruošos darbais, išlaidomis, maitinimosi planavimu ir kalendoriumi."
"ProductFeatures1","Text","Bendri ir asmeniniai darbų sąrašai"
"ProductFeatures2","Text","Bendradarbiavimo pirkinių sąrašai"
"ProductFeatures3","Text","Namų ruošos darbų sekimas su analize"
"ProductFeatures4","Text","Išlaidų sekimas ir sąskaitų pasidalijimas"
"ProductFeatures5","Text","Maitinimosi planavimas su ingredientų sinchronizavimu"
"ProductFeatures6","Text","Namų ūkio kalendorius ir renginiai"
"ProductFeatures7","Text","Galinis-galinis šifruoti namų ūkio duomenys"
"ProductFeatures8","Text","Realaus laiko sinchronizavimas visuose įrenginiuose"
"ProductFeatures9","Text","Prieinama 42 kalbomis"
"ProductFeatures10","Text","Tamsios ir šviesios temos"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly – namų ūkio valdymo programa šeimoms ir kambario draugams: užduotys, pirkiniai, namų ruoša, išlaidos ir maitinimosi planavimas vienoje vietoje."
"SearchTerms1","Text","namų ūkio valdymo programa"
"SearchTerms2","Text","šeimos organizatorius"
"SearchTerms3","Text","bendri darbų sąrašai"
"SearchTerms4","Text","bendradarbiavimo pirkinių sąrašas"
"SearchTerms5","Text","namų ruošos valdymas"
"SearchTerms6","Text","išlaidų sekimas"
"SearchTerms7","Text","išlaidų pasidalijimo programa"
"Applicable license terms","Text","Naudodami Wohnly, sutinkate su paslaugų teikimo sąlygomis ir privatumo politika, pateikta adresu https://wohnly.app/privacy-policy. Wohnly teikiamas „kaip yra"" be jokios garantijos. Programinė įranga yra nemokama. Jūsų namų ūkio duomenys yra šifruojami galinis-galinis ir saugiai saugomi. Jūs išlaikote visų programoje sukurto turinio nuosavybės teisę."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
