"Field","Type","Estonian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly on kõikehõlmav majapidamise haldamise rakendus, mis aitab teil ja teie perel koos organiseerituna püsida. Olgu te elate partneri, toakaaslaste või perega — Wohnly hoiab kõik samal lehel.

Hallake jagatud ülesandeloendeid, ostuloendeid, kodutöid, kulutusi, toidu planeerimist ja majapidamiskalendrit — kõik ühes kohas. Iga majapidamise liige saab panustada, ülesandeid märkida ja reaalajas kursis olla.

Põhifunktsioonid:

Jagatud ülesandeloendid ja isiklikud ülesanded
Koostöös ostuloendid
Kodutööde haldamine õiglase jaotuse analüüsiga
Kulutuste jälgimine ja jagamine
Söögikordade planeerimine ostuloendiga integreeritult
Majapidamiskalender sündmustele ja ajakavadele
Liikmete kutsumine lihtsa koodiga
Majapidamisandmete täielik krüpteerimine
Kaunid tumedal ja heledal teemal
Saadaval 42 keeles
Töötab Windowsil, macOS-il, iOS-il, Androidil ja veebis
Wohnly on tasuta. Logige sisse Google'i või Apple'iga, looge oma majapidamine ja kutsuge perekond või toakaaslased."
"WhatsNew","Text","Esmaversioon Windowsile. Sisaldab täielikku majapidamise haldamist ülesannete, ostuloendite, kodutööde, kulutuste, toiduplaneerimise ja kalendriga."
"ProductFeatures1","Text","Jagatud ja isiklikud ülesandeloendid"
"ProductFeatures2","Text","Koostöös ostuloendid"
"ProductFeatures3","Text","Kodutööde jälgimine analüüsiga"
"ProductFeatures4","Text","Kulutuste jälgimine ja arvete jagamine"
"ProductFeatures5","Text","Söögikordade planeerimine koostisainete sünkroniseerimisega"
"ProductFeatures6","Text","Majapidamiskalender ja sündmused"
"ProductFeatures7","Text","Täielikult krüpteeritud majapidamisandmed"
"ProductFeatures8","Text","Reaalajas sünkroniseerimine kõigis seadmetes"
"ProductFeatures9","Text","Saadaval 42 keeles"
"ProductFeatures10","Text","Tume ja hele teema"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly on majapidamise rakendus peredele ja toakaaslastele — ülesanded, ostlemine, kodutööd, kulutused ja toiduplaneerimine ühes kohas."
"SearchTerms1","Text","majapidamise haldamise rakendus"
"SearchTerms2","Text","pere organisaator"
"SearchTerms3","Text","jagatud ülesandeloendid"
"SearchTerms4","Text","koostöös ostuloend"
"SearchTerms5","Text","kodutööde haldamine"
"SearchTerms6","Text","kulutuste jälgimine"
"SearchTerms7","Text","kulutuste jagamise rakendus"
"Applicable license terms","Text","Kasutades Wohnlyt, nõustute teenuse tingimuste ja privaatsuspoliitikaga, mis on saadaval aadressil https://wohnly.app/privacy-policy. Wohnly pakutakse „nii nagu on"" ilma igasuguse garantiita. Tarkvara on tasuta kasutamiseks. Teie majapidamisandmed on täielikult krüpteeritud ja turvaliselt salvestatud. Säilitate omandiõiguse kõigele, mida rakenduses loote."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
