"Field","Type","Romanian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly este aplicația all-in-one de gestionare a gospodăriei care te ajută pe tine și familia ta să rămâneți organizați împreună. Indiferent dacă locuiești cu un partener, colegi de cameră sau familie, Wohnly ține pe toată lumea pe aceeași lungime de undă.

Gestionează liste de sarcini partajate, liste de cumpărături, treburi casnice, cheltuieli, planuri de mese și un calendar al gospodăriei — totul într-un singur loc. Fiecare membru al gospodăriei poate contribui, bifa sarcinile și fi la curent în timp real.

Caracteristici principale:

Liste de sarcini partajate și sarcini personale
Liste de cumpărături colaborative
Gestionarea treburilor casnice cu analiză a împărțirii echitabile
Urmărirea și împărțirea cheltuielilor
Planificarea meselor cu integrarea listei de cumpărături
Calendar al gospodăriei pentru evenimente și programe
Invitarea membrilor cu un cod simplu
Criptare end-to-end pentru datele gospodăriei
Teme întunecate și deschise frumoase
Disponibil în 42 de limbi
Funcționează pe Windows, macOS, iOS, Android și web
Wohnly este gratuit. Conectează-te cu Google sau Apple, creează gospodăria ta și invită familia sau colegii de cameră pentru a începe."
"WhatsNew","Text","Lansare inițială pentru Windows. Include gestionarea completă a gospodăriei cu sarcini, liste de cumpărături, treburi casnice, cheltuieli, planificarea meselor și calendar."
"ProductFeatures1","Text","Liste de sarcini partajate și personale"
"ProductFeatures2","Text","Liste de cumpărături colaborative"
"ProductFeatures3","Text","Urmărirea treburilor casnice cu analiză"
"ProductFeatures4","Text","Urmărirea cheltuielilor și împărțirea facturilor"
"ProductFeatures5","Text","Planificarea meselor cu sincronizarea ingredientelor"
"ProductFeatures6","Text","Calendar gospodăresc și evenimente"
"ProductFeatures7","Text","Date ale gospodăriei criptate end-to-end"
"ProductFeatures8","Text","Sincronizare în timp real pe toate dispozitivele"
"ProductFeatures9","Text","Disponibil în 42 de limbi"
"ProductFeatures10","Text","Teme întunecate și deschise"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly este aplicația de gestionare a casei pentru familii și colegi de cameră — sarcini, cumpărături, treburi casnice, cheltuieli și planificarea meselor într-un singur loc."
"SearchTerms1","Text","aplicație gestionare gospodărie"
"SearchTerms2","Text","organizator familie"
"SearchTerms3","Text","liste de sarcini partajate"
"SearchTerms4","Text","listă de cumpărături colaborativă"
"SearchTerms5","Text","gestionare treburi casnice"
"SearchTerms6","Text","urmărire cheltuieli"
"SearchTerms7","Text","aplicație împărțire cheltuieli"
"Applicable license terms","Text","Prin utilizarea Wohnly, ești de acord cu Termenii de Serviciu și Politica de Confidențialitate disponibile la https://wohnly.app/privacy-policy. Wohnly este furnizat „ca atare"" fără nicio garanție. Software-ul este gratuit. Datele gospodăriei tale sunt criptate end-to-end și stocate în siguranță. Îți păstrezi dreptul de proprietate asupra întregului conținut creat în aplicație."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
