"Field","Type","Polish"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly to kompleksowa aplikacja do zarządzania gospodarstwem domowym, która pomaga Tobie i Twojej rodzinie pozostać zorganizowanymi razem. Niezależnie od tego, czy mieszkasz z partnerem, współlokatorami czy rodziną, Wohnly trzyma wszystkich na bieżąco.

Zarządzaj wspólnymi listami zadań, listami zakupów, obowiązkami domowymi, wydatkami, planami posiłków i kalendarze domowym — wszystko w jednym miejscu. Każdy członek domowników może wnosić wkład, odhaczać zadania i być na bieżąco w czasie rzeczywistym.

Kluczowe funkcje:

Wspólne listy zadań i osobiste zadania
Współdzielone listy zakupów
Zarządzanie obowiązkami domowymi z analizą sprawiedliwego podziału
Śledzenie i podział wydatków
Planowanie posiłków z integracją listy zakupów
Kalendarz domowy na wydarzenia i harmonogramy
Zapraszanie członków prostym kodem
Szyfrowanie end-to-end dla danych domowych
Piękne ciemne i jasne motywy
Dostępne w 42 językach
Działa na Windows, macOS, iOS, Android i w przeglądarce
Wohnly jest bezpłatne. Zaloguj się przez Google lub Apple, utwórz swoje gospodarstwo domowe i zaproś rodzinę lub współlokatorów, aby zacząć."
"WhatsNew","Text","Pierwsze wydanie dla Windows. Zawiera pełne zarządzanie gospodarstwem domowym z zadaniami, listami zakupów, obowiązkami domowymi, wydatkami, planowaniem posiłków i kalendarzem."
"ProductFeatures1","Text","Wspólne i osobiste listy zadań"
"ProductFeatures2","Text","Współdzielone listy zakupów"
"ProductFeatures3","Text","Śledzenie obowiązków domowych z analizą"
"ProductFeatures4","Text","Śledzenie wydatków i podział rachunków"
"ProductFeatures5","Text","Planowanie posiłków z synchronizacją składników"
"ProductFeatures6","Text","Kalendarz domowy i wydarzenia"
"ProductFeatures7","Text","Dane domowe szyfrowane end-to-end"
"ProductFeatures8","Text","Synchronizacja w czasie rzeczywistym na wszystkich urządzeniach"
"ProductFeatures9","Text","Dostępne w 42 językach"
"ProductFeatures10","Text","Ciemny i jasny motyw"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly to aplikacja do zarządzania domem dla rodzin i współlokatorów — zadania, zakupy, obowiązki, wydatki i planowanie posiłków w jednym miejscu."
"SearchTerms1","Text","aplikacja do zarządzania domem"
"SearchTerms2","Text","organizer rodzinny"
"SearchTerms3","Text","wspólne listy zadań"
"SearchTerms4","Text","współdzielona lista zakupów"
"SearchTerms5","Text","zarządzanie obowiązkami domowymi"
"SearchTerms6","Text","śledzenie wydatków"
"SearchTerms7","Text","aplikacja do podziału kosztów"
"Applicable license terms","Text","Korzystając z Wohnly, zgadzasz się na Warunki korzystania z usługi i Politykę prywatności dostępne pod adresem https://wohnly.app/privacy-policy. Wohnly jest dostarczane „tak jak jest"" bez jakiejkolwiek gwarancji. Oprogramowanie jest bezpłatne w użyciu. Dane Twojego gospodarstwa domowego są zaszyfrowane end-to-end i bezpiecznie przechowywane. Zachowujesz własność wszystkich treści tworzonych w aplikacji."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
