"Field","Type","Portuguese"
"ProductName","Text","Wohnly"
"Description","Text","O Wohnly é o aplicativo all-in-one de gestão doméstica que ajuda você e sua família a se manterem organizados juntos. Seja vivendo com um parceiro, colegas de quarto ou família, o Wohnly mantém todos na mesma página.

Gerencie listas de tarefas compartilhadas, listas de compras, tarefas domésticas, despesas, planos de refeições e um calendário doméstico — tudo em um único lugar. Cada membro da casa pode contribuir, marcar tarefas e ficar atualizado em tempo real.

Destaques principais:

Listas de tarefas compartilhadas e pessoais
Listas de compras colaborativas
Gestão de tarefas domésticas com análise de divisão justa
Controle e divisão de despesas
Planejamento de refeições com integração à lista de compras
Calendário doméstico para eventos e compromissos
Convidar membros com um código simples
Criptografia de ponta a ponta para dados domésticos
Temas escuro e claro lindos
Disponível em 42 idiomas
Funciona no Windows, macOS, iOS, Android e na web
O Wohnly é gratuito. Faça login com Google ou Apple, crie sua casa e convide família ou colegas para começar."
"WhatsNew","Text","Lançamento inicial para Windows. Inclui gestão doméstica completa com tarefas, listas de compras, afazeres domésticos, despesas, planejamento de refeições e calendário."
"ProductFeatures1","Text","Listas de tarefas compartilhadas e pessoais"
"ProductFeatures2","Text","Listas de compras colaborativas"
"ProductFeatures3","Text","Acompanhamento de tarefas domésticas com análise"
"ProductFeatures4","Text","Controle de despesas e divisão de contas"
"ProductFeatures5","Text","Planejamento de refeições com sincronização de ingredientes"
"ProductFeatures6","Text","Calendário doméstico e eventos"
"ProductFeatures7","Text","Dados domésticos criptografados de ponta a ponta"
"ProductFeatures8","Text","Sincronização em tempo real em todos os dispositivos"
"ProductFeatures9","Text","Disponível em 42 idiomas"
"ProductFeatures10","Text","Temas escuro e claro"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly é o app de gestão doméstica para famílias e colegas de quarto — tarefas, compras, afazeres, despesas e planejamento de refeições em um lugar."
"SearchTerms1","Text","aplicativo de gestão doméstica"
"SearchTerms2","Text","organizador familiar"
"SearchTerms3","Text","listas de tarefas compartilhadas"
"SearchTerms4","Text","lista de compras colaborativa"
"SearchTerms5","Text","gerenciamento de tarefas domésticas"
"SearchTerms6","Text","controle de despesas"
"SearchTerms7","Text","aplicativo para dividir despesas"
"Applicable license terms","Text","Ao usar o Wohnly, você concorda com os Termos de Serviço e a Política de Privacidade disponíveis em https://wohnly.app/privacy-policy. O Wohnly é fornecido ""como está"" sem qualquer garantia. O software é gratuito. Os dados da sua casa são criptografados de ponta a ponta e armazenados com segurança. Você mantém a propriedade de todo o conteúdo criado no aplicativo."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
