"Field","Type","Greek"
"ProductName","Text","Wohnly"
"Description","Text","Το Wohnly είναι η ολοκληρωμένη εφαρμογή διαχείρισης νοικοκυριού που βοηθά εσάς και την οικογένειά σας να παραμένετε οργανωμένοι μαζί. Είτε μένετε με σύντροφο, συγκάτοικους ή οικογένεια, το Wohnly κρατά όλους στην ίδια σελίδα.

Διαχειριστείτε κοινές λίστες εργασιών, λίστες αγορών, οικιακές εργασίες, έξοδα, πλάνα γευμάτων και ένα οικιακό ημερολόγιο — όλα σε ένα μέρος. Κάθε μέλος του νοικοκυριού σας μπορεί να συνεισφέρει, να επισημαίνει εργασίες και να ενημερώνεται σε πραγματικό χρόνο.

Βασικά χαρακτηριστικά:

Κοινές λίστες εργασιών και προσωπικές εργασίες
Συνεργατικές λίστες αγορών
Διαχείριση οικιακών εργασιών με ανάλυση δίκαιης κατανομής
Παρακολούθηση και διαχωρισμός εξόδων
Σχεδιασμός γευμάτων με ενοποίηση λίστας αγορών
Οικιακό ημερολόγιο για εκδηλώσεις και προγράμματα
Πρόσκληση μελών με απλό κωδικό
Κρυπτογράφηση από άκρο σε άκρο για τα δεδομένα του νοικοκυριού
Όμορφα σκούρα και ανοιχτά θέματα
Διαθέσιμο σε 42 γλώσσες
Λειτουργεί σε Windows, macOS, iOS, Android και web
Το Wohnly είναι δωρεάν. Συνδεθείτε με Google ή Apple, δημιουργήστε το νοικοκυριό σας και προσκαλέστε την οικογένεια ή τους συγκατοίκους σας για να ξεκινήσετε."
"WhatsNew","Text","Αρχική έκδοση για Windows. Περιλαμβάνει πλήρη διαχείριση νοικοκυριού με εργασίες, λίστες αγορών, οικιακές εργασίες, έξοδα, σχεδιασμό γευμάτων και ημερολόγιο."
"ProductFeatures1","Text","Κοινές και προσωπικές λίστες εργασιών"
"ProductFeatures2","Text","Συνεργατικές λίστες αγορών"
"ProductFeatures3","Text","Παρακολούθηση οικιακών εργασιών με ανάλυση"
"ProductFeatures4","Text","Παρακολούθηση εξόδων και διαχωρισμός λογαριασμών"
"ProductFeatures5","Text","Σχεδιασμός γευμάτων με συγχρονισμό υλικών"
"ProductFeatures6","Text","Οικιακό ημερολόγιο και εκδηλώσεις"
"ProductFeatures7","Text","Δεδομένα νοικοκυριού κρυπτογραφημένα από άκρο σε άκρο"
"ProductFeatures8","Text","Συγχρονισμός σε πραγματικό χρόνο σε όλες τις συσκευές"
"ProductFeatures9","Text","Διαθέσιμο σε 42 γλώσσες"
"ProductFeatures10","Text","Σκούρα και ανοιχτά θέματα"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Το Wohnly είναι η εφαρμογή διαχείρισης νοικοκυριού για οικογένειες και συγκατοίκους — εργασίες, αγορές, οικιακά, έξοδα και σχεδιασμός γευμάτων σε ένα μέρος."
"SearchTerms1","Text","εφαρμογή διαχείρισης νοικοκυριού"
"SearchTerms2","Text","οικογενειακός οργανωτής"
"SearchTerms3","Text","κοινές λίστες εργασιών"
"SearchTerms4","Text","συνεργατική λίστα αγορών"
"SearchTerms5","Text","διαχείριση οικιακών εργασιών"
"SearchTerms6","Text","παρακολούθηση εξόδων"
"SearchTerms7","Text","εφαρμογή διαχωρισμού εξόδων"
"Applicable license terms","Text","Χρησιμοποιώντας το Wohnly, αποδέχεστε τους Όρους Χρήσης και την Πολιτική Απορρήτου που είναι διαθέσιμες στη διεύθυνση https://wohnly.app/privacy-policy. Το Wohnly παρέχεται «ως έχει» χωρίς καμία εγγύηση. Το λογισμικό είναι δωρεάν. Τα δεδομένα του νοικοκυριού σας είναι κρυπτογραφημένα από άκρο σε άκρο και αποθηκευμένα με ασφάλεια. Διατηρείτε την κυριότητα όλου του περιεχομένου που δημιουργείτε στην εφαρμογή."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
