"Field","Type","Norwegian"
"ProductName","Text","Wohnly"
"Description","Text","Wohnly er den alt-i-ett-appen for husholdningsstyring som hjelper deg og familien din å holde styr på tingene sammen. Enten du bor med en partner, romkamerater eller familie, holder Wohnly alle på samme side.

Administrer delte gjøremålslister, handlelister, husarbeid, utgifter, måltidsplaner og en husstandskalender — alt på ett sted. Hvert husstandsmedlem kan bidra, huke av oppgaver og holde seg oppdatert i sanntid.

Nøkkelfunksjoner:

Delte gjøremålslister og personlige oppgaver
Felles handlelister
Administrasjon av husarbeid med analyse av rettferdig fordeling
Utgiftssporing og deling
Måltidsplanlegging med integrasjon av handleliste
Husstandskalender for hendelser og timeplan
Inviter medlemmer med en enkel kode
Ende-til-ende-kryptering for husstandsdata
Vakre mørke og lyse temaer
Tilgjengelig på 42 språk
Fungerer på Windows, macOS, iOS, Android og nett
Wohnly er gratis. Logg inn med Google eller Apple, opprett husstanden din, og inviter familie eller romkamerater for å komme i gang."
"WhatsNew","Text","Første utgivelse for Windows. Inkluderer full husholdningsstyring med oppgaver, handlelister, husarbeid, utgifter, måltidsplanlegging og kalender."
"ProductFeatures1","Text","Delte og personlige gjøremålslister"
"ProductFeatures2","Text","Felles handlelister"
"ProductFeatures3","Text","Sporing av husarbeid med analyse"
"ProductFeatures4","Text","Utgiftssporing og regningsdeling"
"ProductFeatures5","Text","Måltidsplanlegging med ingredienssynkronisering"
"ProductFeatures6","Text","Husstandskalender og hendelser"
"ProductFeatures7","Text","Ende-til-ende-krypterte husstandsdata"
"ProductFeatures8","Text","Sanntidssynkronisering på alle enheter"
"ProductFeatures9","Text","Tilgjengelig på 42 språk"
"ProductFeatures10","Text","Mørke og lyse temaer"
"ProductFeatures11","Text",
"ProductFeatures12","Text",
"ProductFeatures13","Text",
"ProductFeatures14","Text",
"ProductFeatures15","Text",
"ProductFeatures16","Text",
"ProductFeatures17","Text",
"ProductFeatures18","Text",
"ProductFeatures19","Text",
"ProductFeatures20","Text",
"ShortDescription","Text","Wohnly er husstandsappen for familier og romkamerater — oppgaver, handel, husarbeid, utgifter og måltidsplanlegging samlet på ett sted."
"SearchTerms1","Text","husholdningsstyring app"
"SearchTerms2","Text","familie organizer app"
"SearchTerms3","Text","delte gjøremålslister"
"SearchTerms4","Text","felles handleliste"
"SearchTerms5","Text","husarbeid app"
"SearchTerms6","Text","utgiftssporing app"
"SearchTerms7","Text","utgiftsdeling app"
"Applicable license terms","Text","Ved å bruke Wohnly godtar du Tjenestevilkårene og Personvernreglene tilgjengelig på https://wohnly.app/privacy-policy. Wohnly leveres ""som det er"" uten garanti av noe slag. Programvaren er gratis å bruke. Husstandsdataene dine er ende-til-ende-kryptert og lagret sikkert. Du beholder eierskapet til alt innhold du oppretter i appen."
"Copyright","Text","Copyright 2026 Thomas Scheiber. All rights reserved."
"DevelopedBy","Text","Thomas Scheiber"
"RequirementsMinimum1","Text",
"RequirementsMinimum2","Text",
"RequirementsMinimum3","Text",
"RequirementsMinimum4","Text",
"RequirementsMinimum5","Text",
"RequirementsMinimum6","Text",
"RequirementsMinimum7","Text",
"RequirementsMinimum8","Text",
"RequirementsMinimum9","Text",
"RequirementsMinimum10","Text",
"RequirementsMinimum11","Text",
"RequirementsRecommended1","Text",
"RequirementsRecommended2","Text",
"RequirementsRecommended3","Text",
"RequirementsRecommended4","Text",
"RequirementsRecommended5","Text",
"RequirementsRecommended6","Text",
"RequirementsRecommended7","Text",
"RequirementsRecommended8","Text",
"RequirementsRecommended9","Text",
"RequirementsRecommended10","Text",
"RequirementsRecommended11","Text",
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",
"HeroArts","Text",
"Trailers","Text",
